FOLIO INSTITUCIONAL,MÓDULO,FOLIO DE MÓDULO,SEMANA,ESTACIÓN,LÍNEA,FECHA,DÍA,MES,HORA DE AGRESIÓN,HORA DE ATENCIÓN,HORA DE CIERRE DE ATENCIÓN,DESCRIPCIÓN,MODO DE ACCIÓN,DELITO,LUGAR DE LOS HECHOS,SEXO,EDAD,OCUPACIÓN ESPECÍFICA,OCUPACIÓN GENERAL,ESCOLARIDAD DE LA VICTIMA,DELEGACIÓN O MUNICIPIO,ESTADO,SEXO AGRESOR,EDAD  AGRESOR,OCUPACIÓN ESPECÍFICA 2,OCUPACIÓN GENERAL 2,ESCOLARIDAD,DELEGACIÓN O MUNICIPIO 2,ESTADO2,SIN DETENIDO,OBSERVACIONES,OBSTÁCULOS DE COLABORACIÒN,AUTORIDAD,CORPORACION REMITENTE
2099,HIDALGO,H-052,DEL 09 AL 13 DE JUNIO DE 2014,HIDALGO,2,12 DE JUNIO DE 2014,JUEVES,JUNIO,10:05,10:10,21:40,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,22,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,31,EMPLEADO,EMPLEADO,PROFESIONAL,MUNICIPIO DE COACALCO,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2100,HIDALGO,H-053,DEL 09 AL 13 DE JUNIO DE 2014,FLORES MAGÓN,B,12 DE JUNIO DE 2014,JUEVES,JUNIO,19:00,20:10,08:10,FRICCIÓN DE PENE,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,OCTAVO VAGÓN,MUJER,24,EMPLEADA,EMPLEADA,SECUNDARIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACION GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2101,BALDERAS,B-048,DEL 09 AL 13 DE JUNIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC,FUERA DE LAS INSTALACIONES DEL STC,13 DE JUNIO DE 2014,VIERNES,JUNIO,12:30 DEL 01 DE JUNIO DE 2014,09:00,15:30,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),PERSISTENTE Y POCO AGRESIVA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC,MUJER,23,TAREAS DEL HOGAR,TAREAS DEL HOGAR,SECUNDARIA,DELEGACIÓN ´ TLALPAN,DF,HOMBRE,24,EMPLEADO,EMPLEADO,PRIMARIA,DELEGACIÓN TLALPAN,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (UAVIF),SIN DETENIDO
2102,BALDERAS,B-049,DEL 09 AL 13 DE JUNIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC,FUERA DE LAS INSTALACIONES DEL STC,13 DE JUNIO DE 2014,VIERNES,JUNIO,13:15 DEL 12 DE JUNIO DE 2014,14:15,18:00,VIOLACIÓN,PERSISTENTE Y POCO AGRESIVA,VIOLACIÓN,FUERA DE LAS INSTALACIONES DEL STC,MUJER,36,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CLINICA CONDESA),SIN DETENIDO
2103,PINO SUÁREZ,PS-033,DEL 09 AL 13 DE JUNIO DE 2014,CHABACANO,2,13 DE JUNIO DE 2014,VIERNES,JUNIO,16:50,18:07,19:45,PERSECUCIÓN CON POSIBLES FINES LASCIVOS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,ESCALERAS FIJAS,MUJER,26,EJECUTIVA DE CUENTA,EMPLEAD,PROFESIONAL,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,32,SERIGRAFISTA,EMPLEADO,PRIMARIA,MUNICIPIO DE TLANEPANTLA,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2104,PINO SUÁREZ,PS-034,DEL 16 AL 20 DE JUNIO DE 2014,NATIVITAS,2,16 DE JUNIO DE 2014,LUNES,JUNIO,07:11,08:28,09:37,EXHIBICIÓN DE GENITALES,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,SÉPTIMO VAGÓN,MUJER,15,ESTUDIANTE,ESTUDIANTE,SECUNDARIA,DELEGACIÓN BENITO JUÁREZ,DF,HOMBRE,38,ESTUDIANTE,ESTUDIANTE,SECUNDARIA,DELEGACIÓN TLALPAN,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNO,DC,PBI
2105,BALDERAS,B-050,DEL 16 AL 20 DE JUNIO DE 2014,BALDERAS,3,17 DE JUNIO DE 2014,MARTES,JUNIO,09:20,09:37,09:50,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,29,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,18,ESTUDIANTE,ESTUDIANTE,CARRERA TÉCNICA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNO,DC,PBI
2106,HIDALGO,H-054,DEL 16 AL 20 DE JUNIO DE 2014,HIDALGO,3,17 DE JUNIO DE 2014,MARTES,JUNIO,09:15,09:40,10:45,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ANDEN,MUJER,29,EMPLEADA,EMPLEADA,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,38,EMPLEADO,EMPLEADO,SECUNDARIA,MUNICIPIO DE TLANEPANTLA,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNO,DC,PA
2107,BALDERAS,B-051,DEL 16 AL 20 DE JUNIO DE 2014,CHABACANO,8,17 DE JUNIO DE 2014,MARTES,JUNIO,09:45,09:55,16:32,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,23,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN IZTAPALAPA,DF,HOMBRE ,50,EMPLEADO,EMPLEADO,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2108,HIDALGO,H-055,DEL 16 AL 20 DE JUNIO DE 2014,INDIOS VERDES,3,17 DE JUNIO DE 2014,MARTES,JUNIO,09:30,10:40,17:52,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,QUINTO VAGÓN,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE ,28,SERVIDOR PÚBLICO,SERVIDOR PÚBLICO,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2109,PANTITLÁN,P-024,DEL 16 AL 20 DE JUNIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (CALLES ALEDAÑAS AL DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (CALLES ALEDAÑAS AL DOMICILIO DE LA VÍCTIMA),17 DE JUNIO DE 2014,MARTES,JUNIO,16:10,17:35,21:15,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (CALLES ALEDAÑAS AL DOMICILIO DE LA VÍCTIMA),MUJER,28,COMERCIANTE,COMERCIANTE,SECUNDARIA,DELEGACIÓN IZTACALCO,DF,HOMBRE,29,DESEMPLEADO,DESEMPLEADO,PRIMARIA,DELEGACIÓN IZTACALCO,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2110,HIDALGO,H-056,DEL 16 AL 20 DE JUNIO DE 2014,GUERRERO,3,19 DE JUNIO DE 2014,JUEVES,JUNIO,16:50,18:15,00:03,VIOLENCIA FAMILIAR (FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,ANDEN,MUJER,23,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN BENITO JUÁREZ,DF,HOMBRE,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE TULTITLAN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,OTRA INSTANCIA (MP ZARCO Y VIOLETA),PBI
2111,BALDERAS,B-052,DEL 23 AL 27 DE JUNIO DE 2014,ZOCALO,2,23 DE JUNIO DE 2014,LUNES,JUNIO,16:05,16:36,21:15,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,45,EMPLEADA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,42,COMERCIANTE,COMERCIANTE,SIN DATO,DELEGACIÓN CUAUHTÉMOC,DF,NA,NINGUNA,NINGUNO,FDS,PA
2112,HIDALGO,H-057,DEL 23 AL 27 DE JUNIO DE 2014,TLATELOLCO,3,24 DE JUNIO DE 2014,MARTES,JUNIO,08:15:00,08:35,15:20,TOCAMIENTO EN ÁREA PÚBICA,AGRESIVA VERBAL Y FÍSICAMENTE,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,26,EMPLEADA DOMÉSTICA,EMPLEADA,SECUNDARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,38,EMPLEADO,EMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2113,PINO SUÁREZ,PS-035,DEL 23 AL 27 DE JUNIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC ( DOMICILIO DEL TRABAJO DE  LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC ( DOMICILIO DEL TRABAJO DE  LA VÍCTIMA),26 DE JUNIO DE 2014,JUEVES,JUNIO,23:00 DEL 24/06/2014,10:54,17:11,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA) ,AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC ( DOMICILIO DEL TRABAJO DE  LA VÍCTIMA),MUJER,42,EMPLEADA,EMPLEADA,SIN DATO,DELEGACIÓN XOCHIMILCO,DF,HOMBRE,49,SIN DATO,SIN DATO,SIN DATO,DELEGACIÓN XOCHIMILCO,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2114,BALDERAS,B-053,DEL 23 AL 27 DE JUNIO DE 2014,TACUBAYA,1,26 DE JUNIO DE 2014,JUEVES,JUNIO,13:50,15:20,08:40,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,36,COMERCIANTE,COMERCIANTE,PREPARATORIA,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,22,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE NEZAHUALCOYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2115,HIDALGO,H-058,DEL 23 AL 27 DE JUNIO DE 2014,HIDALGO,3,27 DE JUNIO DE 2014,VIERNES,JUNIO,08:40,09:00,13:42,VEJACIONES (AGRESIÓN FÍSICA),RÁPIDA Y VIOLENTA,VEJACIONES,PASILLO  DE CORRESPONDENCIA ,MUJER,36,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN CUAHTÉMOC,DF,HOMBRE,20,EMPLEADO,EMPLEADO,PRIMARIA,DELEGACIÓN AZCAPOTZALCO,DF,NA,NINGUNA,NINGUNO,JC,PA
2116,HIDALGO,H-059,DEL 23 AL 27 DE JUNIO DE 2014,LA RAZA,5,30 DE JUNIO DE 2014,LUNES,JUNIO,09:40,09:50,10:32,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,19,EMPLEADA DOMÉSTICA,EMPLEADA ,PRIMARIA,ESTADO DE MÉXICO,ESTADO DE MÉXICO,HOMBRE,63,MÉCANICO,OFICIO,SECUNDARIA,DELEGACIÓN COYOACÁN,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNO,DC,PBI
2117,BALDERAS,B-054,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,LAZARO CARDÉNAS,9,30 DE JUNIO DE 2014,LUNES,JUNIO,08:35,10:15,16:10,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,33,EMPLEADA,EMPLEADA,MAESTRÍA,DELEGACIÓN IZTACALCO,DF,HOMBRE,23,PINTOR,OFICIO,BACHILLERATO,MUNICIPIO DE NEZAHUALCOYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2118,HIDALGO,H-060,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,HIDALGO,2,01 DE JULIO DE 2014,MARTES,JULIO,20:30 DEL 27/06/2014,09:30,16:25,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA) ,AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,PASILLO  DE CORRESPONDENCIA ,MUJER,20,EMPLEADA,EMPLEADA,PREPARATORIA,MUNICIPIO DE TLALNEPANTLA,ESTADO DE MÉXICO,HOMBRE,21,EMPLEADO,OFICIO,BACHILLERATO,MUNICIPIO DE TLALNEPANTLA,ESTADO DE MÉXICO,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2119,PINO SUÁREZ,PS-036,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,PINO SUÁREZ,2,01 DE JULIO DE 2014,MARTES,JULIO,14:00,14:04,20:14,TOMA DE VIDEO,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,29,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN   TLÁHUAC,DF,HOMBRE,50,EMPLEADO DE LIMPIEZA ,EMPLEADO,BACHILLERATO,DELEGACIÓN AZCAPOTZALCO,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2120,PINO SUÁREZ,PS-037,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,PINO SUÁREZ,1,02 DE JULIO DE 2014,MIÉRCOLES,JULIO,16:15,16:54, 01:34 HORAS DEL 03 DE JULIO DE 2014,TOCAMIENTO EN GENITALES,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,QUINTO VAGÓN,HOMBRE,17,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,DELEGACIÓN  VENUSTIANO CARRANZA,DF,HOMBRE,55,EMPLEADO,EMPLEADO,PREPARATORIA,MUNICIPIO LOS REYES LA PAZ,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2121,HIDALGO,H-061,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,INDIOS VERDES,3,04 DE JULIO DE 2014,VIERNES,JULIO,16:20,16:30,17:10,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,26,MILITAR,MILITAR,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,40,SIN DATO,SIN DATO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNA,DC,PA
2122,PINO SUÁREZ,PS-038,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,IZTAPALAPA,8,07 DE JULIO DE 2014,LUNES,JULIO,07:30,08:44,16:18,"TOCAMIENTO EN PIERNA, GLÚTEO Y SENO  ",PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,SEXTO VAGÓN,MUJER,29,EMPLEADA DE LIMPIEZA,EMPLEADA,PRIMARIA,DELEGACIÓN  IZTAPALAPA,DF,HOMBRE,37,CHOFER,OFICIO,BACHILLERATO,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNA,FDS,PA
2123,BALDERAS,B-055,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,ZARAGOZA,1,07 DE JULIO DE 2014,LUNES,JULIO,14:15,15:40,16:00,TOMA DE FOTOGRAFÍAS ,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,ESCALERAS FIJAS,MUJER,25,EMPLEADA,EMPLEADA,PROFESIONAL,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,31,ARQUITECTO,EMPLEADO,LICENCIATURA,SIN DATO,SIN DATO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNA,DC,PBI
2124,BALDERAS,B-056,DEL 30 DE JUNIO AL 04 DE JULIO DE 2014,SAN LÁZARO,1,10 DE JULIO DE 2014,JUEVES,JULIO,08:45,09:28,17:00,FROTAMIENTO DE PENE EN MANO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,19,ESTUDIANTE,ESTUDIANTE,CARRERA TÉCNICA,ESTADO DE MÉXICO,ESTADO DE MÉXICO,HOMBRE,45,DESEMPLEADO,DESEMPLEADO,SIN DATO,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNA,FDS,PBI
2125,BALDERAS,B-057,DEL 07 DE JULIO AL 11 DE JULIO DE 2014,SALTO DEL AGUA,8,10 DE JULIO DE 2014,JUEVES,JULIO,08:58,10:00,14:50,TOMA DE FOTOGRAFÍAS Y/O VIDEO ,RÁPIDA Y VIOLENTA,ACOSO SEXUAL,ESCALERAS ELÉCTRICAS,MUJER,49,AGENTE DE SEGUROS,EMPLEADA,PROFESIONAL,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,44,CONTADOR,EMPLEADO,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA FDS,NINGUNA,DC,PBI
2126,BALDERAS,B-058,DEL 07 DE JULIO AL 11 DE JULIO DE 2014,BOSQUE DE ARAGÓN,B,11 DE JULIO DE 204,VIERNES,JULIO,09:40,10:40,12:00,TOCAMIENTO EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,45,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,19,SEGURIDAD PRIVADA,EMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNA,DC,PA
2127,PINO SUÁREZ,PS-039,DEL 07 DE JULIO AL 11 DE JULIO DE 2014,SAN LÁZARO,1,11 DE JULIO DE 204,VIERNES,JULIO,14:50,15:37,20:25,TOMA DE FOTOGRAFÍAS  ,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,INTERIOR DE VAGÓN,MUJER,23,ABOGADA,PROFESIONISTA,PROFESIONAL,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,58,COMERCIANTE,COMERCIANTE,PREPARATORIA,DELEGACIÓN XOCHIMILCO,DF,NA,NINGUNA,NINGUNA,FDS,PBI
2128,PINO SUÁREZ,PS-040,DEL 07 DE JULIO AL 11 DE JULIO DE 2014,HIDALGO,3,14 DE JULIO DE 2014,LUNES,JULIO,09:05,09:40,16:45,TOCAMIENTO EN SENOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,VAGÓN CENTRAL,MUJER,16,ESTUDIANTE,ESTUDIANTE,SECUNDARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,50,HOJALATEO,EMPLEADO,PRIMARIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNA,FDS,PBI
2129,PINO SUÁREZ,PS-041,DEL 14 AL 18 DE JULIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC,FUERA DE LAS INSTALACIONES DEL STC,14 DE JULIO DE 2014,LUNES,JULIO,16:00 DEL 12/07/2014,18:10,04:35 DEL  15/07/2014,"TOCAMIENTO EN SENOS, ÁREA PÚBICA Y GLÚTEOS",PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,FUERA DE LAS INSTALACIONES DEL STC (INTERIOR DE LA CASETA DE VIGILANCIA DEL C2 CENTRO DE MONITOREAO DEL D.F.),MUJER,17,EMPLEADA,EMPLEADA,SECUNDARIA,MUNICIPIO DE CHIMALHUACAN,ESTADO DE MÉXICO,HOMBRE,45,POLICIA BANCARIA E INDUSTRIAL,ELEMENTO DE SEGURIDAD PÚBLICA,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,NINGUNA,NINGUNA,FDS,SIN DETENIDO
2130,HIDALGO,H-062,DEL 14 AL 18 DE JULIO DE 2014,SAN COSME,2,16 DE JULIO DE 2014,MIÉRCOLES,JULIO,08:30,08:45,21:45,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA) ,PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,INTERIOR DE VAGÓN,MUJER,40,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN       MIGUEL HIDALGO,DF,HOMBRE,36,EMPLEADO,EMPLEADO,PREPARATORIA,SIN DATO,SIN DATO,NA,NINGUNA,NINGUNA,OTRA INSTANCIA (MP ZARCO Y VIOLETA),PBI
2131,BALDERAS,B-059,DEL 14 AL 18 DE JULIO DE 2014,TACUBAYA,1,16 DE JULIO DE 2014,MIERCOLES,JULIO,10:55,11:50,19:40,TOCAMIENTO EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,27,RECEPCIONISTA,EMPLEADA,PROFESIONAL,DELEGACIÓN AZCAPOTZALCO,DF,HOMBRE,23,VENDERDOR,EMPLEADO,PREPARATORIA,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNA,FDS,PBI
2132,BALDERAS,B-060,DEL 14 AL 18 DE JULIO DE 2014,DIVISIÓN DEL NORTE,3,16 DE JULIO DE 2014,MIÉRCOLES,JULIO,14:40,15:30,19:45,EXHIBICIÓN DE GENITALES,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,CUARTO VAGÓN,MUJER,25,ENFERMERA,EMPLEADA,PROFESIONAL,DELEGACIÓN GUSTAVO A MADERO,DF,HOMBRE,39,EMPLEADO,EMPLEADO,PROFESIONAL,DELEGACIÓN AZCAPOTZALCO,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNA,DC,PBI
2133,HIDALGO,H-063,DEL 14 AL 18 DE JULIO DE 2014,COLEGIO MILITAR,2,17 DE JULIO DE 2014,JUEVES,JULIO,11:05,11:25,11:55,TOMA DE FOTOGRAFÍAS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,SEGUNDO VAGÓN ,MUJER,18,DEMOSTRADORA,EMPLEADA,SECUNDARIA,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,52,PENSIONADO,PENSIONADO,SIN DATO,DELEGACIÓN IZTACALCO,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNA,DC,PBI
2134,HIDALGO,H-064,DEL 14 AL 18 DE JULIO DE 2014,HIDALGO,2,17 DE JULIO DE 2014,JUEVES,JULIO,19:20,19:35,21:04,EXHIBICIÓN DE GENITALES,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,VAGÓN CENTRAL,MUJER,23,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,54,DESEMPLEADO,DESEMPLEADO,PRIMARIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNA,DC,PBI
2135,HIDALGO,H-065,DEL 14 AL 18 DE JULIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC,FUERA DE LAS INSTALACIONES DEL STC,21 DE JULIO DE 2014,LUNES,JULIO,11:17,12:37,20:30,TOMA DE FOTOGRAFÍAS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,FUERA DE LAS INSTALACIONES DEL STC,MUJER,28,EMPLEADA,EMPLEADA,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,45,ARQUITECTO,EMPLEADO,PROFESIONAL,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNA,FDS,PBI
2136,GUERRERO,G-003,DEL 14 AL 18 DE JULIO DE 2014,GARIBALDI,B,24 DE JULIO DE 2014,JUEVES,JULIO,19:05 DEL 11/07/2014,13:00,16:00,TOCAMIENTO EN GÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ESCALERAS ELÉCTRICAS,MUJER,35,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN COYOACÁN,DF,HOMBRE,50,SIN DATO,SIN DATO,SIN DATO,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNA,FDS,SIN DATO
2137,BALDERAS,B-061,DEL 21 AL 25 DE JULIO DE 2014,BALDERAS,1,24 DE JULIO DE 2014,JUEVES,JULIO,12:30,13:06,20:53,TOCAMIENTO EN GLÚTEO,NEGANDO LOS HECHOS ,ABUSO SEXUAL,TERCER VAGÓN,MUJER,22,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN GUSTAVO A MADERO,DF,HOMBRE,28,ESTUDIANTE,ESTUDIANTE,LICENCIATURA,DELEGACIÓN TLALPAN,DF,NA,NINGUNA,NINGUNA,FDS,PBI
2138,PANTITLÁN,P-025,DEL 21 AL 25 DE JULIO DE 2014,AGRICOLA ORIENTAL,A,28 DE JULIO DE 2014,LUNES,JULIO ,08:30,08:40,09:30,MASTURBACIÓN,NEGANDO LOS HECHOS ,ACOSO SEXUAL,INTERIOR DE VAGÓN,MUJER,24,ESTUDIANTE,EMPLEADA,PROFESIONAL,DELRGACIÓN TLALPAN,DF,HOMBRE,34,EMPLEADO,EMPLEADO,PREPARATORIA,SIN DATO,SIN DATO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A DENUNCIAR EN EL MÓDULO,NINGUNA,DC,PBI
